Element,Count
b'\xd2\x1d\x03\xdb%\n+\x93\xfc\xd6\xc7\x08\x06',13840
b'A\xad4`\xb3H\xdd.\xdc\xf0\x00P\x06',13792
b'p\x7f\xc4\xc1z\x19\x01`\xa6\xc7\x01\xbb\x06',13769
b'p\xe5\x17 \xe96+\xfc\xe2%\x00P\x06',13732
b'\x9d\r\xa9\xb4\x01\xbbo\xcd\xe4\xc4\xf9\xd7\x06',13587
b'\xd2\x1e\xbeh\x01\xbb+\xfc\xe0\r\xe44\x06',13578
b'\xdc\x1bP\xe1\x00P++(\x18\xcc\xa6\x06',13495
b'r\x06\xa3a\xd6<+\xfc\xe1P\x00P\x06',13483
b'C\x8c}\x00\xeas+\xfc\xe0\x1b\x00P\x06',13462
b'f\x06\x9c\x86\x9d\xa2\xdd.\xdc\xe0\x00P\x06',13400
b'w\xfa\x1d\xcf\x86_\x01`\xa6\xd5\x01\xbb\x06',13369
b'\x9d\r\xa9/\x01\xbbf\x03\xf6\xbe\xc0y\x06',13308
b'w\xe6\xc8`u\x08\x01`\xa7\xda\x01\xbb\x06',13303
b'\xcb\x9c9I\xcc\xb4+\xfc\xe2\x05\x00P\x06',13248
b'\x821B\xd9\xcb\xcd+\xfc\xe0\x9b\x00P\x06',13167
b'\xd8\xcf\xe7\x06\x01\xf4\xd0\x80\x14\x9c\x01\xf4\x11',13123
b'E\x0c\xd5\xed\xcf\xe3\xdd.\xdc\xf3\x00P\x06',13043
b'\xc7\xe8~!\xa5\x9f\xdd.\xdc\xf0\x00P\x06',13035
b'\xb7\xd4|4\xe1\xc7+\xfc\xe2\x11\x00P\x06',13011
b'r\x00\xba\x80\xc1\xe6+\xfc\xe1\x1b\x00P\x06',12999
b'q\xa1\x13\x98\xc5\xdd\x01`\xdf\x92\x00P\x06',12985
b'pw\xbe\xe5g\xf1\x01`\xa6\xcc\x01\xbb\x06',12902
"b'f\x06\\\x1e%\n\x99\xc1u,\xcc\xd3\x06'",12886
b'Dd\xcce\x00Ph\xef\x88\xf0\xd4*\x06',12858
b'\xd8\x1eL\xf0\x00P\x11\xea\xcf\x87\xab\xab\x06',12787
b'\x801\xa5\xc8^P\x01`\xa6\xdf\x01\xbb\x06',12753
"b'M\xb9cq""I\x89 \x0c\x83\xc7\xde\x06'",12683
b'p\x97\xa6\xdd\xd6b+\xfc\xe2$\x01\xbb\x06',12660
b'\x82/Jb\xc2\xa6+\xfc\xe1\x1b\x00P\x06',12641
b'\xdc\x90\xcd\x9d\xceM\x01:!6\x00P\x06',12630
b'{\xdb\xae\xbd\xf6<+\xfc\xe2\x18\x00P\x06',12586
b'\x1cA\xfd\xe2M\xda\x01`\xa6\xf0\x01\xbb\x06',12553
b'pp\xd3\x00$\x02\x01`\xa7\t\x01\xbb\x06',12545
b'\xd8\x1eL\xf0\x00PD\xe9\xe43\x98\x82\x06',12532
b'\x9d\r\xaa\x10\x01\xbbo\xcd\x19\xd9\xc3\xc5\x06',12512
"b'\x93b""\x08\x01\xbb\x05\xfc,t$\xa6\x06'",12489
